Sexo;Comunidades y Ciudades Autónomas;Tipo de sector;Periodo;Total
Ambos sexos;01 Andalucía;Empleo público;2003T1;514,3
Ambos sexos;01 Andalucía;Empleo público;2002T4;513,1
Ambos sexos;01 Andalucía;Empleo público;2002T3;504,7
Ambos sexos;01 Andalucía;Empleo público;2002T2;487,7
Ambos sexos;01 Andalucía;Empleo público;2002T1;474,8
Ambos sexos;02 Aragón;Empleo público;2023T1;110,9
Ambos sexos;02 Aragón;Empleo público;2022T4;106,5
Ambos sexos;02 Aragón;Empleo público;2022T3;108,1
Ambos sexos;02 Aragón;Empleo público;2022T2;108,2
Ambos sexos;02 Aragón;Empleo público;2022T1;114,3
Ambos sexos;02 Aragón;Empleo público;2021T4;111,8
Ambos sexos;02 Aragón;Empleo público;2021T3;109,3
Ambos sexos;02 Aragón;Empleo público;2021T2;109,0
Ambos sexos;02 Aragón;Empleo público;2021T1;115,1
Ambos sexos;02 Aragón;Empleo público;2020T4;114,5
Ambos sexos;02 Aragón;Empleo público;2020T3;106,3
Ambos sexos;02 Aragón;Empleo público;2020T2;107,1
Ambos sexos;02 Aragón;Empleo público;2020T1;103,7
Ambos sexos;02 Aragón;Empleo público;2019T4;100,4
Ambos sexos;02 Aragón;Empleo público;2019T3;106,6
Ambos sexos;02 Aragón;Empleo público;2019T2;112,0
Ambos sexos;02 Aragón;Empleo público;2019T1;112,4
Ambos sexos;02 Aragón;Empleo público;2018T4;108,0
Ambos sexos;02 Aragón;Empleo público;2018T3;109,3
Ambos sexos;02 Aragón;Empleo público;2018T2;105,6
Ambos sexos;02 Aragón;Empleo público;2018T1;101,0
Ambos sexos;02 Aragón;Empleo público;2017T4;103,4
Ambos sexos;02 Aragón;Empleo público;2017T3;104,9
Ambos sexos;02 Aragón;Empleo público;2017T2;106,4
Ambos sexos;02 Aragón;Empleo público;2017T1;101,6
Ambos sexos;02 Aragón;Empleo público;2016T4;102,8
Ambos sexos;02 Aragón;Empleo público;2016T3;100,7
Ambos sexos;02 Aragón;Empleo público;2016T2;97,1
Ambos sexos;02 Aragón;Empleo público;2016T1;98,9
Ambos sexos;02 Aragón;Empleo público;2015T4;103,2
Ambos sexos;02 Aragón;Empleo público;2015T3;97,4
Ambos sexos;02 Aragón;Empleo público;2015T2;98,1
Ambos sexos;02 Aragón;Empleo público;2015T1;97,6
Ambos sexos;02 Aragón;Empleo público;2014T4;95,8
Ambos sexos;02 Aragón;Empleo público;2014T3;102,0
Ambos sexos;02 Aragón;Empleo público;2014T2;94,0
Ambos sexos;02 Aragón;Empleo público;2014T1;94,6
Ambos sexos;02 Aragón;Empleo público;2013T4;100,6
Ambos sexos;02 Aragón;Empleo público;2013T3;92,7
Ambos sexos;02 Aragón;Empleo público;2013T2;91,3
Ambos sexos;02 Aragón;Empleo público;2013T1;93,1
Ambos sexos;02 Aragón;Empleo público;2012T4;106,6
Ambos sexos;02 Aragón;Empleo público;2012T3;104,7
Ambos sexos;02 Aragón;Empleo público;2012T2;104,7
Ambos sexos;02 Aragón;Empleo público;2012T1;102,2
Ambos sexos;02 Aragón;Empleo público;2011T4;109,4
Ambos sexos;02 Aragón;Empleo público;2011T3;109,9
Ambos sexos;02 Aragón;Empleo público;2011T2;103,7
Ambos sexos;02 Aragón;Empleo público;2011T1;104,0
Ambos sexos;02 Aragón;Empleo público;2010T4;101,5
Ambos sexos;02 Aragón;Empleo público;2010T3;103,0
Ambos sexos;02 Aragón;Empleo público;2010T2;99,2
Ambos sexos;02 Aragón;Empleo público;2010T1;97,4
Ambos sexos;02 Aragón;Empleo público;2009T4;101,4
Ambos sexos;02 Aragón;Empleo público;2009T3;102,2
Ambos sexos;02 Aragón;Empleo público;2009T2;95,5
Ambos sexos;02 Aragón;Empleo público;2009T1;96,3
Ambos sexos;02 Aragón;Empleo público;2008T4;101,1
Ambos sexos;02 Aragón;Empleo público;2008T3;105,9
Ambos sexos;02 Aragón;Empleo público;2008T2;102,3
Ambos sexos;02 Aragón;Empleo público;2008T1;104,3
Ambos sexos;02 Aragón;Empleo público;2007T4;99,4
Ambos sexos;02 Aragón;Empleo público;2007T3;104,3
Ambos sexos;02 Aragón;Empleo público;2007T2;97,3
Ambos sexos;02 Aragón;Empleo público;2007T1;97,4
Ambos sexos;02 Aragón;Empleo público;2006T4;99,9
Ambos sexos;02 Aragón;Empleo público;2006T3;101,2
Ambos sexos;02 Aragón;Empleo público;2006T2;98,4
Ambos sexos;02 Aragón;Empleo público;2006T1;97,5
Ambos sexos;02 Aragón;Empleo público;2005T4;92,9
Ambos sexos;02 Aragón;Empleo público;2005T3;91,8
Ambos sexos;02 Aragón;Empleo público;2005T2;82,9
Ambos sexos;02 Aragón;Empleo público;2005T1;84,4
Ambos sexos;02 Aragón;Empleo público;2004T4;82,8
Ambos sexos;02 Aragón;Empleo público;2004T3;84,4
Ambos sexos;02 Aragón;Empleo público;2004T2;87,9
Ambos sexos;02 Aragón;Empleo público;2004T1;87,1
Ambos sexos;02 Aragón;Empleo público;2003T4;84,2
Ambos sexos;02 Aragón;Empleo público;2003T3;80,0
Ambos sexos;02 Aragón;Empleo público;2003T2;80,0
Ambos sexos;02 Aragón;Empleo público;2003T1;78,3
Ambos sexos;02 Aragón;Empleo público;2002T4;74,2
Ambos sexos;02 Aragón;Empleo público;2002T3;74,9
Ambos sexos;02 Aragón;Empleo público;2002T2;75,4
Ambos sexos;02 Aragón;Empleo público;2002T1;76,3
Ambos sexos;03 Asturias, Principado de;Empleo público;2023T1;72,2
Ambos sexos;03 Asturias, Principado de;Empleo público;2022T4;75,3
Ambos sexos;03 Asturias, Principado de;Empleo público;2022T3;77,7
Ambos sexos;03 Asturias, Principado de;Empleo público;2022T2;77,9
Ambos sexos;03 Asturias, Principado de;Empleo público;2022T1;81,7
Ambos sexos;03 Asturias, Principado de;Empleo público;2021T4;89,0
Ambos sexos;03 Asturias, Principado de;Empleo público;2021T3;84,4
Ambos sexos;03 Asturias, Principado de;Empleo público;2021T2;86,9
Ambos sexos;03 Asturias, Principado de;Empleo público;2021T1;90,4
Ambos sexos;03 Asturias, Principado de;Empleo público;2020T4;87,0
Ambos sexos;03 Asturias, Principado de;Empleo público;2020T3;83,1
Ambos sexos;03 Asturias, Principado de;Empleo público;2020T2;83,2
Ambos sexos;03 Asturias, Principado de;Empleo público;2020T1;79,9
Ambos sexos;03 Asturias, Principado de;Empleo público;2019T4;77,2
Ambos sexos;03 Asturias, Principado de;Empleo público;2019T3;77,3
Ambos sexos;03 Asturias, Principado de;Empleo público;2019T2;74,6
Ambos sexos;03 Asturias, Principado de;Empleo público;2019T1;74,1
Ambos sexos;03 Asturias, Principado de;Empleo público;2018T4;71,0
Ambos sexos;03 Asturias, Principado de;Empleo público;2018T3;77,6
Ambos sexos;03 Asturias, Principado de;Empleo público;2018T2;78,2
Ambos sexos;03 Asturias, Principado de;Empleo público;2018T1;73,0
Ambos sexos;03 Asturias, Principado de;Empleo público;2017T4;71,9
Ambos sexos;03 Asturias, Principado de;Empleo público;2017T3;72,8
Ambos sexos;03 Asturias, Principado de;Empleo público;2017T2;74,7
Ambos sexos;03 Asturias, Principado de;Empleo público;2017T1;70,2
Ambos sexos;03 Asturias, Principado de;Empleo público;2016T4;68,0
Ambos sexos;03 Asturias, Principado de;Empleo público;2016T3;74,4
Ambos sexos;03 Asturias, Principado de;Empleo público;2016T2;73,0
Ambos sexos;03 Asturias, Principado de;Empleo público;2016T1;76,2
Ambos sexos;03 Asturias, Principado de;Empleo público;2015T4;77,3
Ambos sexos;03 Asturias, Principado de;Empleo público;2015T3;77,3
Ambos sexos;03 Asturias, Principado de;Empleo público;2015T2;72,9
Ambos sexos;03 Asturias, Principado de;Empleo público;2015T1;74,6
Ambos sexos;03 Asturias, Principado de;Empleo público;2014T4;71,5
Ambos sexos;03 Asturias, Principado de;Empleo público;2014T3;75,3
Ambos sexos;03 Asturias, Principado de;Empleo público;2014T2;73,5
Ambos sexos;03 Asturias, Principado de;Empleo público;2014T1;73,4
Ambos sexos;03 Asturias, Principado de;Empleo público;2013T4;73,4
Ambos sexos;03 Asturias, Principado de;Empleo público;2013T3;69,6
Ambos sexos;03 Asturias, Principado de;Empleo público;2013T2;72,1
Ambos sexos;03 Asturias, Principado de;Empleo público;2013T1;72,7
Ambos sexos;03 Asturias, Principado de;Empleo público;2012T4;75,8
Ambos sexos;03 Asturias, Principado de;Empleo público;2012T3;80,8
Ambos sexos;03 Asturias, Principado de;Empleo público;2012T2;84,0
Ambos sexos;03 Asturias, Principado de;Empleo público;2012T1;80,4
Ambos sexos;03 Asturias, Principado de;Empleo público;2011T4;76,9
Ambos sexos;03 Asturias, Principado de;Empleo público;2011T3;75,0
Ambos sexos;03 Asturias, Principado de;Empleo público;2011T2;79,2
Ambos sexos;03 Asturias, Principado de;Empleo público;2011T1;76,6
Ambos sexos;03 Asturias, Principado de;Empleo público;2010T4;79,6
Ambos sexos;03 Asturias, Principado de;Empleo público;2010T3;77,9
Ambos sexos;03 Asturias, Principado de;Empleo público;2010T2;73,4
Ambos sexos;03 Asturias, Principado de;Empleo público;2010T1;72,1
Ambos sexos;03 Asturias, Principado de;Empleo público;2009T4;72,3
Ambos sexos;03 Asturias, Principado de;Empleo público;2009T3;73,4
Ambos sexos;03 Asturias, Principado de;Empleo público;2009T2;75,6
Ambos sexos;03 Asturias, Principado de;Empleo público;2009T1;78,7
Ambos sexos;03 Asturias, Principado de;Empleo público;2008T4;77,5
Ambos sexos;03 Asturias, Principado de;Empleo público;2008T3;75,0
Ambos sexos;03 Asturias, Principado de;Empleo público;2008T2;77,9
Ambos sexos;03 Asturias, Principado de;Empleo público;2008T1;76,0
Ambos sexos;03 Asturias, Principado de;Empleo público;2007T4;73,2
Ambos sexos;03 Asturias, Principado de;Empleo público;2007T3;73,9
Ambos sexos;03 Asturias, Principado de;Empleo público;2007T2;69,9
Ambos sexos;03 Asturias, Principado de;Empleo público;2007T1;71,4
Ambos sexos;03 Asturias, Principado de;Empleo público;2006T4;70,5
Ambos sexos;03 Asturias, Principado de;Empleo público;2006T3;70,5
Ambos sexos;03 Asturias, Principado de;Empleo público;2006T2;72,1
Ambos sexos;03 Asturias, Principado de;Empleo público;2006T1;69,1
Ambos sexos;03 Asturias, Principado de;Empleo público;2005T4;74,4
Ambos sexos;03 Asturias, Principado de;Empleo público;2005T3;72,1
Ambos sexos;03 Asturias, Principado de;Empleo público;2005T2;70,3
Ambos sexos;03 Asturias, Principado de;Empleo público;2005T1;73,4
Ambos sexos;03 Asturias, Principado de;Empleo público;2004T4;72,6
Ambos sexos;03 Asturias, Principado de;Empleo público;2004T3;74,2
Ambos sexos;03 Asturias, Principado de;Empleo público;2004T2;72,6
Ambos sexos;03 Asturias, Principado de;Empleo público;2004T1;72,4
Ambos sexos;03 Asturias, Principado de;Empleo público;2003T4;76,9
Ambos sexos;03 Asturias, Principado de;Empleo público;2003T3;67,9
Ambos sexos;03 Asturias, Principado de;Empleo público;2003T2;68,1
Ambos sexos;03 Asturias, Principado de;Empleo público;2003T1;60,9
Ambos sexos;03 Asturias, Principado de;Empleo público;2002T4;66,7
Ambos sexos;03 Asturias, Principado de;Empleo público;2002T3;64,9
Ambos sexos;03 Asturias, Principado de;Empleo público;2002T2;65,9
Ambos sexos;03 Asturias, Principado de;Empleo público;2002T1;70,7
Ambos sexos;04 Balears, Illes;Empleo público;2023T1;88,6
Ambos sexos;04 Balears, Illes;Empleo público;2022T4;87,5
Ambos sexos;04 Balears, Illes;Empleo público;2022T3;85,9
Ambos sexos;04 Balears, Illes;Empleo público;2022T2;86,8
Ambos sexos;04 Balears, Illes;Empleo público;2022T1;89,3
Ambos sexos;04 Balears, Illes;Empleo público;2021T4;89,1
Ambos sexos;04 Balears, Illes;Empleo público;2021T3;89,1
Ambos sexos;04 Balears, Illes;Empleo público;2021T2;87,8
Ambos sexos;04 Balears, Illes;Empleo público;2021T1;85,9
Ambos sexos;04 Balears, Illes;Empleo público;2020T4;88,4
Ambos sexos;04 Balears, Illes;Empleo público;2020T3;79,8
Ambos sexos;04 Balears, Illes;Empleo público;2020T2;78,5
Ambos sexos;04 Balears, Illes;Empleo público;2020T1;77,4
Ambos sexos;04 Balears, Illes;Empleo público;2019T4;74,9
Ambos sexos;04 Balears, Illes;Empleo público;2019T3;76,3
Ambos sexos;04 Balears, Illes;Empleo público;2019T2;74,4
Ambos sexos;04 Balears, Illes;Empleo público;2019T1;78,1
Ambos sexos;04 Balears, Illes;Empleo público;2018T4;77,9
Ambos sexos;04 Balears, Illes;Empleo público;2018T3;76,8
Ambos sexos;04 Balears, Illes;Empleo público;2018T2;67,3
Ambos sexos;04 Balears, Illes;Empleo público;2018T1;64,9
Ambos sexos;04 Balears, Illes;Empleo público;2017T4;64,4
Ambos sexos;04 Balears, Illes;Empleo público;2017T3;63,0
Ambos sexos;04 Balears, Illes;Empleo público;2017T2;64,1
Ambos sexos;04 Balears, Illes;Empleo público;2017T1;71,0
Ambos sexos;04 Balears, Illes;Empleo público;2016T4;72,6
Ambos sexos;04 Balears, Illes;Empleo público;2016T3;64,6
Ambos sexos;04 Balears, Illes;Empleo público;2016T2;67,2
Ambos sexos;04 Balears, Illes;Empleo público;2016T1;65,9
Ambos sexos;04 Balears, Illes;Empleo público;2015T4;64,8
Ambos sexos;04 Balears, Illes;Empleo público;2015T3;62,3
Ambos sexos;04 Balears, Illes;Empleo público;2015T2;64,9
Ambos sexos;04 Balears, Illes;Empleo público;2015T1;63,4
Ambos sexos;04 Balears, Illes;Empleo público;2014T4;61,3
Ambos sexos;04 Balears, Illes;Empleo público;2014T3;60,2
Ambos sexos;04 Balears, Illes;Empleo público;2014T2;67,1
Ambos sexos;04 Balears, Illes;Empleo público;2014T1;60,8
Ambos sexos;04 Balears, Illes;Empleo público;2013T4;61,7
Ambos sexos;04 Balears, Illes;Empleo público;2013T3;69,6
Ambos sexos;04 Balears, Illes;Empleo público;2013T2;68,3
Ambos sexos;04 Balears, Illes;Empleo público;2013T1;71,0
Ambos sexos;04 Balears, Illes;Empleo público;2012T4;67,7
Ambos sexos;04 Balears, Illes;Empleo público;2012T3;67,2
Ambos sexos;04 Balears, Illes;Empleo público;2012T2;66,0
Ambos sexos;04 Balears, Illes;Empleo público;2012T1;59,8
Ambos sexos;04 Balears, Illes;Empleo público;2011T4;60,8
Ambos sexos;04 Balears, Illes;Empleo público;2011T3;70,2
Ambos sexos;04 Balears, Illes;Empleo público;2011T2;66,6
Ambos sexos;04 Balears, Illes;Empleo público;2011T1;73,7
Ambos sexos;04 Balears, Illes;Empleo público;2010T4;72,4
Ambos sexos;04 Balears, Illes;Empleo público;2010T3;76,6
Ambos sexos;04 Balears, Illes;Empleo público;2010T2;74,2
Ambos sexos;04 Balears, Illes;Empleo público;2010T1;65,8
Ambos sexos;04 Balears, Illes;Empleo público;2009T4;66,7
Ambos sexos;04 Balears, Illes;Empleo público;2009T3;66,1
Ambos sexos;04 Balears, Illes;Empleo público;2009T2;64,7
Ambos sexos;04 Balears, Illes;Empleo público;2009T1;65,5
Ambos sexos;04 Balears, Illes;Empleo público;2008T4;66,4
Ambos sexos;04 Balears, Illes;Empleo público;2008T3;61,1
Ambos sexos;04 Balears, Illes;Empleo público;2008T2;59,8
Ambos sexos;04 Balears, Illes;Empleo público;2008T1;53,5
Ambos sexos;04 Balears, Illes;Empleo público;2007T4;55,0
Ambos sexos;04 Balears, Illes;Empleo público;2007T3;56,5
Ambos sexos;04 Balears, Illes;Empleo público;2007T2;60,4
Ambos sexos;04 Balears, Illes;Empleo público;2007T1;59,1
Ambos sexos;04 Balears, Illes;Empleo público;2006T4;63,7
Ambos sexos;04 Balears, Illes;Empleo público;2006T3;66,0
Ambos sexos;04 Balears, Illes;Empleo público;2006T2;61,1
Ambos sexos;04 Balears, Illes;Empleo público;2006T1;60,0
Ambos sexos;04 Balears, Illes;Empleo público;2005T4;56,2
Ambos sexos;04 Balears, Illes;Empleo público;2005T3;59,2
Ambos sexos;04 Balears, Illes;Empleo público;2005T2;54,5
Ambos sexos;04 Balears, Illes;Empleo público;2005T1;55,4
Ambos sexos;04 Balears, Illes;Empleo público;2004T4;53,9
Ambos sexos;04 Balears, Illes;Empleo público;2004T3;51,8
Ambos sexos;04 Balears, Illes;Empleo público;2004T2;54,3
Ambos sexos;04 Balears, Illes;Empleo público;2004T1;48,7
Ambos sexos;04 Balears, Illes;Empleo público;2003T4;55,3
Ambos sexos;04 Balears, Illes;Empleo público;2003T3;56,8
Ambos sexos;04 Balears, Illes;Empleo público;2003T2;56,0
Ambos sexos;04 Balears, Illes;Empleo público;2003T1;57,6
Ambos sexos;04 Balears, Illes;Empleo público;2002T4;56,7
Ambos sexos;04 Balears, Illes;Empleo público;2002T3;59,4
Ambos sexos;04 Balears, Illes;Empleo público;2002T2;57,2
Ambos sexos;04 Balears, Illes;Empleo público;2002T1;54,3
Ambos sexos;05 Canarias;Empleo público;2023T1;164,2
Ambos sexos;05 Canarias;Empleo público;2022T4;175,4
Ambos sexos;05 Canarias;Empleo público;2022T3;179,0
Ambos sexos;05 Canarias;Empleo público;2022T2;177,0
Ambos sexos;05 Canarias;Empleo público;2022T1;177,6
Ambos sexos;05 Canarias;Empleo público;2021T4;183,7
Ambos sexos;05 Canarias;Empleo público;2021T3;173,9
